Nome,Descrição,Estoque Atual,Estoque Mínimo,Localização
Intel Celeron,Processador Intel Celeron,22,5,Almoxarifado TI - Prateleira A1
Intel Pentium,Processador Intel Pentium,22,5,Almoxarifado TI - Prateleira A1
Intel Core i5,Processador Intel Core i5,14,4,Almoxarifado TI - Prateleira A1
Intel Core i3,Processador Intel Core i3,11,3,Almoxarifado TI - Prateleira A1
Intel Dual Core,Processador Intel Dual Core,4,2,Almoxarifado TI - Prateleira A2
Intel Quad Core,Processador Intel Quad Core,7,2,Almoxarifado TI - Prateleira A2
HD 500GB Seagate,Disco Rígido de 500GB da marca Seagate,22,5,Almoxarifado TI - Prateleira B1
HD 500GB WD Blue,Disco Rígido de 500GB da marca Western Digital Blue,3,1,Almoxarifado TI - Prateleira B1
HD 320GB,Disco Rígido de 320GB,2,1,Almoxarifado TI - Prateleira B2
HD 750GB Seagate,Disco Rígido de 750GB da marca Seagate,50,10,Almoxarifado TI - Prateleira B2
HD 1TB Western Digital,Disco Rígido de 1TB da marca Western Digital,9,3,Almoxarifado TI - Prateleira B3
HD 160GB Samsung,Disco Rígido de 160GB da marca Samsung,19,4,Almoxarifado TI - Prateleira B3
SSD 240GB GTA,Unidade de Estado Sólido de 240GB da marca GTA,11,3,Almoxarifado TI - Prateleira B4
DDR4 8GB (GTA),Memória RAM DDR4 de 8GB da marca GTA,12,3,Almoxarifado TI - Prateleira C1
DDR3 4GB (Kingston),Memória RAM DDR3 de 4GB da marca Kingston,25,5,Almoxarifado TI - Prateleira C1
SO-DIMM DDR3 2GB (Markvision),Memória RAM SO-DIMM DDR3 de 2GB da marca Markvision para notebooks,22,5,Almoxarifado TI - Prateleira C2
Cabo USB tipo C,Cabo de dados e energia com conector USB tipo C,63,15,Caixa de Cabos - Seção 1
Cabo USB 3.0,Cabo de dados com conector USB 3.0,13,4,Caixa de Cabos - Seção 1
Cabo P2 (auxiliar),Cabo de áudio auxiliar com conector P2,7,2,Caixa de Cabos - Seção 2
Cabo HDMI,Cabo de vídeo e áudio digital HDMI,25,5,Caixa de Cabos - Seção 3
Cabo DVI,Cabo de vídeo digital DVI,17,4,Caixa de Cabos - Seção 3
Cabo VGA para HDMI,Adaptador de vídeo VGA para HDMI,1,1,Caixa de Cabos - Seção 4
Cabo VGA,Cabo de vídeo analógico VGA,52,10,Caixa de Cabos - Seção 4
Cabo DisplayPort,Cabo de vídeo digital DisplayPort,54,10,Caixa de Cabos - Seção 3
Cabo ATA,Cabo de dados para HDs e drives antigos,39,8,Caixa de Cabos - Seção 5
Cabo de força com 3 pinos (modelo antigo),Cabo de energia para fontes de computador (padrão antigo),34,7,Caixa de Cabos - Seção 6
Cabo de força padrão,Cabo de energia para fontes de computador (padrão novo),15,5,Caixa de Cabos - Seção 6
Cabo de força com 3 entradas,Cabo de energia com conector triplo (Mickey),15,4,Caixa de Cabos - Seção 6
Cabo de força em Y,Cabo de energia duplicador,1,1,Caixa de Cabos - Seção 6
Conector RJ45,Pacote com aproximadamente 50 conectores RJ45 para cabos de rede,1,1,Caixa de Conectores
Adaptador AC-DC (padrão antigo),Fonte de alimentação AC-DC de modelo antigo,0,0,Armário de Fontes
Fonte 400W Fortrek,Fonte de alimentação ATX de 400W da marca Fortrek,0,0,Armário de Fontes
Fonte PoE,Fonte de alimentação Power over Ethernet,0,0,Armário de Fontes
Fonte de notebook,Fonte de alimentação para notebooks diversos,0,0,Armário de Fontes
Roteador,Roteador para distribuição de sinal de internet,15,3,Sala de Servidores - Prateleira A
Placa de rede,Placa de interface de rede para desktops,3,1,Almoxarifado TI - Gaveta 1
Antena de rede,Antena para roteadores ou placas de rede,6,2,Almoxarifado TI - Gaveta 1
DisplayPort para HDMI,Adaptador de vídeo DisplayPort para HDMI,4,2,Caixa de Adaptadores
Conector USB Bluetooth,Adaptador USB para conectividade Bluetooth,10,3,Caixa de Adaptadores
Headset com microfone,Fone de ouvido com microfone integrado,3,1,Armário de Periféricos - Seção A
Mouse ergonômico,Mouse com design ergonômico,4,2,Armário de Periféricos - Seção B
Mouse óptico,Mouse óptico com fio USB,19,5,Armário de Periféricos - Seção B
Teclado + mouse C3Plus,Kit de teclado e mouse da marca C3Plus,3,1,Armário de Periféricos - Seção C
Teclado,Teclado padrão ABNT2,9,3,Armário de Periféricos - Seção C
Webcam Multilaser,Câmera de vídeo para computador da marca Multilaser,1,1,Armário de Periféricos - Seção D
Monitor Dell,Monitor de vídeo da marca Dell,6,2,Estoque de Monitores
Monitor Samsung,Monitor de vídeo da marca Samsung,1,1,Estoque de Monitores
Notebook,Computador portátil,8,2,Sala de Equipamentos
Chave estrela,Chave de fenda do tipo estrela,4,2,Bancada de Manutenção
VBOX – caixa de passagem,Caixa de passagem para instalações,10,3,Almoxarifado Geral - Prateleira 1
Gabinete Dell,Gabinete de computador da marca Dell,2,1,Estoque de Gabinetes
Espelho de gabinete,Painel traseiro para placas-mãe,4,2,Almoxarifado TI - Gaveta 2
Suporte para mini PC,Suporte de fixação para computadores de formato pequeno,28,6,Almoxarifado Geral - Prateleira 2
